timestamp_ms,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pressureHPa,altitudeM,filteredHeight,filteredVelocity,imuVelocityPrediction,predictedApogeeM,servoCommand
1486,6.306327343,78.45080566,2.518700123,-0.018385911,-0.413016826,-0.096992344,1032.954834,0.01106215,0.030786406,-0.128201678,0,0,0
1496,-0.081402861,78.45080566,3.095702887,-0.032241959,-0.628851414,-0.091396637,1032.954834,0.01106215,0.03291259,0.553438842,0.686408043,0,0
1506,2.535459518,78.45080566,2.140416384,-0.063950993,-0.824168444,-0.050361406,1032.954834,0.01106215,0.03778246,1.227604508,1.372816086,0,0
1516,-0.905008256,78.45080566,4.331110954,-0.063950993,-1.121274114,-0.009592649,1032.947998,0.066875905,0.053465448,1.908993244,2.059224129,0,0
1526,0.110133275,78.45080566,2.849100113,-0.046897396,-1.443427324,0.015188362,1032.947998,0.066875905,0.075962245,2.590367079,2.745632172,0,0
1536,-0.011971008,78.45080566,3.754108191,-0.040502299,-1.515372038,0.024514547,1032.947998,0.066875905,0.105272666,3.271716356,3.432040215,0,0
1546,-1.443703651,78.45080566,-0.888248801,-0.070346095,-1.448756576,0.015454824,1032.947998,0.066875905,0.131411329,3.932329893,4.118448257,0,0
1556,3.34230566,78.45080566,3.658340216,-0.057822358,-1.736536026,-0.001332312,1032.942993,0.107605048,0.174137384,4.612879753,4.8048563,0,0
1566,2.777273893,78.45080566,-1.158793569,-0.03437366,-1.983013868,0.024514547,1032.942993,0.107605048,0.223668784,5.293401241,5.491264343,0,0
1576,-5.279214859,78.45080566,-2.664746523,0.007993874,-2.41308403,0.073810108,1032.942993,0.107605048,0.280004978,5.973838806,6.177672386,0,0
1586,-3.002328873,78.45080566,0.926556051,0.033041347,-2.933751822,0.074343033,1032.942993,0.107605048,0.310666323,6.577785969,6.864080429,0,0
1596,-0.466869324,78.45080566,4.211400986,-0.000266462,-2.9158988,0.018918836,1032.93457,0.176492974,0.379829735,7.254892826,7.550488472,0,0
1606,6.80192709,78.45080566,-0.914585054,-0.031442571,-2.568431854,-0.037837673,1032.93457,0.176492974,0.455764323,7.932027817,8.236896515,0,0
1616,6.612784863,78.45080566,-4.108449936,0.038637057,-1.775173068,-0.032241959,1032.93457,0.176492974,0.538470209,8.609150887,8.923304558,0,0
1626,12.81376743,78.45080566,-1.465251446,0.074609496,-1.211871266,0.025580399,1032.922607,0.274043083,0.576761186,9.145651817,9.609712601,0,0
1636,4.960785866,78.45080566,-5.820304394,0.038370594,-1.358425736,0.059421133,1032.922607,0.274043083,0.671567738,9.815659523,10.29612064,0,0
1646,-1.651999116,78.45080566,2.260126352,-0.121240422,-1.965427279,-0.06981317,1032.922607,0.274043083,0.773075044,10.48580742,10.98252869,0,0
1656,-3.021482468,78.45080566,6.639121532,0.057289433,-0.466309339,-0.015188362,1032.922607,0.274043083,0.881283581,11.15589905,11.66893673,0,0
1666,-22.34268951,78.45080566,12.22958183,0.198248088,0.294707507,0.088465542,1032.904053,0.425901234,0.907437682,11.53208637,12.35534477,0,0
1676,2.33913517,78.45080566,0.16759412,0.169203669,0.67734766,0.106052071,1032.904053,0.425901234,1.026017666,12.18392658,13.04175282,0,0
1686,-6.639121532,78.45080566,8.008605003,0.069280244,0.874263406,0.02904441,1032.904053,0.425901234,1.151115179,12.8355732,13.72816086,0,0
1696,2.784456491,78.45080566,-10.01973438,0.044232771,0.98271364,0.031709034,1032.904053,0.425901234,1.282728314,13.48704624,14.4145689,0,0
1706,2.516305923,78.45080566,-7.745242596,0.078073502,1.066649318,0.052759573,1032.88208,0.604915679,1.279368639,13.55366993,15.10097694,0,0
1716,-2.597708941,78.45080566,5.959167957,0.081004597,1.089298606,0.088998467,1032.88208,0.604915679,1.417948008,14.16219902,15.78738499,0,0
